choicepair,A1_prob,A1_payoff,A2_prob,A2_payoff,B1_prob,B1_payoff,B2_prob,B2_payoff,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
66,0.96,-61,0.04,-56,0.34,-7,0.66,-63,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
67,0.44,-59,0.56,0,0.43,-80,0.57,-24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.25,-94,0.75,-37,0.83,-49,0.17,-11,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,0.16,-15,0.84,-67,0.72,-56,0.28,-83,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.51,-26,0.49,-76,0.77,-48,0.23,-34,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1
71,0.49,-1,0.51,-54,0.77,-33,0.23,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
72,0.73,-49,0.27,-75,0.17,-2,0.83,-100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
73,0.6,-46,0.4,-21,0.42,-99,0.58,-37,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.29,-67,0.71,-28,0.05,-46,0.95,-44,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
75,0.56,-4,0.44,-80,0.04,-46,0.96,-58,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76,0.77,-77,0.23,-62,0.71,-94,0.29,-51,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.38,-22,0.62,-15,0.38,-4,0.62,-36,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
78,0.56,-6,0.44,-59,0.64,-27,0.36,-83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,0.37,-91,0.63,-33,0.49,-41,0.51,-61,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
80,0.61,-73,0.39,-58,0.44,-83,0.56,-8,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.09,-54,0.91,-41,0.79,-65,0.21,-28,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
82,0.29,-25,0.71,-86,0.76,-38,0.24,-99,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
83,0.93,-55,0.07,-17,0.27,-88,0.73,-35,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0
84,0.45,-37,0.55,-34,0.41,-11,0.59,-54,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0
85,0.13,-19,0.87,-56,0.7,-32,0.3,-37,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.66,-8,0.34,-95,0.93,-42,0.07,-30,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1
87,0.33,-23,0.67,-96,0.29,-40,0.71,-82,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1
88,0.73,-73,0.27,-54,0.17,-42,0.83,-70,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
89,0.03,-75,0.97,-27,0.69,-41,0.31,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
90,0.48,-59,0.52,-2,0.14,-77,0.86,-9,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
91,0.58,-50,0.42,-54,0.14,-73,0.86,-40,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1
92,0.13,-29,0.87,-76,0.55,-100,0.45,-28,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
93,0.19,-68,0.81,-46,0.61,-9,0.39,-90,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0
94,0.84,-57,0.16,-90,0.25,-63,0.75,-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
95,0.97,-58,0.03,-65,0.18,-52,0.82,-74,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96,0.99,-96,0.01,-2,0.47,-90,0.53,-66,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
97,0.59,-85,0.41,-7,0.52,-9,0.48,-73,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
98,0.56,-58,0.44,-80,0.86,-58,0.14,-97,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
99,0.65,-72,0.35,-8,0.25,-90,0.75,-39,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
100,0.59,-41,0.41,-57,0.42,-51,0.58,-30,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
101,0.63,-96,0.37,-38,0.17,-12,0.83,-69,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0.04,-98,0.96,-25,0.4,-78,0.6,-22,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0
103,0.5,-21,0.5,-77,0.39,-77,0.61,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.79,-67,0.21,-37,0.46,0,0.54,-97,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1
105,0.4,-60,0.6,-82,0.47,-31,0.53,-90,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
106,0.21,-60,0.79,-16,0.45,-6,0.55,-51,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
107,0.48,-15,0.52,-91,0.28,-48,0.72,-74,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
108,0.04,-15,0.96,-60,0.88,-34,0.12,-77,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
109,0.99,-24,0.01,-13,0.44,-15,0.56,-62,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
110,0.39,-35,0.61,-72,0.76,-57,0.24,-28,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
111,0.76,-33,0.24,-53,0.52,-18,0.48,-60,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1
112,0.43,-55,0.57,-53,0.08,-77,0.92,-51,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
113,0.75,-100,0.25,-84,0.95,-85,0.05,-29,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,0.53,-93,0.47,-26,0.8,-52,0.2,-93,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1
115,0.59,-55,0.41,-77,0.47,-30,0.53,-61,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
116,0.66,-58,0.34,-68,0.68,-67,0.32,-49,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
117,0.86,-29,0.14,-30,0.26,-17,0.74,-43,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,0.32,-83,0.68,-19,0.15,-15,0.85,-52,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1
119,0.56,-9,0.44,-56,0.64,-15,0.36,-80,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,0.49,-66,0.51,-92,0.78,-97,0.22,-34,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
121,0.85,-55,0.15,27,0.02,73,0.98,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
122,0.18,-19,0.82,73,0.94,58,0.06,-54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,-48,0,0,0.9,-71,0.1,87,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
124,0.43,-47,0.57,63,0.02,-69,0.98,14,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0
125,0.48,58,0.52,-5,0.4,-40,0.6,96,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
126,0.93,-28,0.07,79,0.63,-81,0.37,89,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0
127,0.43,-91,0.57,63,0.27,-83,0.73,24,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
128,0.73,-38,0.27,40,0.54,-30,0.46,7,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
129,0.94,-66,0.06,92,0.03,31,0.97,-49,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
130,0.24,-88,0.76,79,0.01,-100,0.99,32,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
131,0.86,-26,0.14,82,0.6,-39,0.4,31,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
132,0.06,-82,0.94,54,0.91,38,0.09,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,0.05,56,0.95,-56,0.47,29,0.53,-80,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0
134,0.37,-8,0.63,52,0.87,23,0.13,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,0.07,-7,0.93,25,0.87,48,0.13,-10,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0
136,0.81,-42,0.19,16,0.47,27,0.53,-60,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
137,0.73,-31,0.27,9,0.07,39,0.93,-27,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1
138,0.92,-73,0.08,96,0.11,16,0.89,-48,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1
139,0.75,72,0.25,-38,0.45,60,0.55,-8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
140,0.24,-25,0.76,36,0.48,-28,0.52,67,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0
141,0.79,-70,0.21,98,0.65,-85,0.35,93,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
142,0.14,-92,0.86,76,0.94,99,0.06,-96,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
143,0.14,93,0.86,-91,0.32,0,0.68,-76,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
144,0.31,-44,0.69,26,0.38,84,0.62,-41,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1
145,0.74,56,0.26,-76,0.4,-31,0.6,92,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
146,0.28,-59,0.72,96,0.04,-4,0.96,63,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
147,0.96,17,0.04,-48,0.49,-60,0.51,84,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
148,0.43,-97,0.57,59,0.85,-28,0.15,83,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0
149,0.38,-49,0.62,2,0.22,19,0.78,-18,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0
150,0.39,76,0.61,-7,0.06,-65,0.94,37,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0
151,0.44,71,0.56,-95,0.63,-31,0.37,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
152,0.97,31,0.03,-20,0.36,-54,0.64,99,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
153,0.97,-51,0.03,30,0.68,-89,0.32,46,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0
154,0.95,-33,0.05,19,0.26,14,0.74,-75,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,0.5,98,0.5,-24,0.14,-76,0.86,46,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
